age,p1,p2.5,p5,p50,p75
31.0,257627.04,266748.45,270604.14,286525.07,292920.83
31.08,236498.05,262898.39,269558.77,292717.77,302158.81
31.17,235372.81,256731.53,269049.21,299153.26,310479.37
31.25,233001.72,254926.96,268906.29,305361.64,318674.67
31.33,230474.45,255383.74,268990.06,311348.61,327091.13
31.42,233448.57,255952.98,270871.2,318059.04,335487.85
31.5,237011.83,256664.01,273486.63,324413.07,343217.97
31.58,235871.72,257682.81,274405.08,330713.51,351561.89
31.67,238328.66,258947.62,276358.1,336872.07,359484.28
31.75,241972.82,260432.63,278540.83,343794.07,367768.84
31.83,240916.75,264214.98,280936.49,350151.34,375596.91
31.92,241370.11,265017.51,283799.43,356116.42,383068.25
32.0,244694.18,268024.83,286378.24,362789.5,391752.47
32.08,247941.06,270355.46,288606.31,368895.75,399520.52
32.17,253280.32,272939.78,291521.89,375299.17,407674.45
32.25,251605.58,275948.58,294201.74,381586.14,415962.74
32.33,255396.42,278314.4,297244.35,388046.69,423707.84
32.42,258293.61,282937.58,300570.75,393998.75,431613.94
32.5,259272.58,284334.32,304227.72,400547.52,441045.36
32.58,263748.71,288105.32,308328.28,406810.63,447421.22
32.67,266169.2,290650.25,311958.61,413113.75,455879.66
32.75,269032.85,294530.89,315673.92,420378.09,464516.91
32.83,272337.13,298407.29,319896.76,426778.45,473170.49
32.92,274184.97,300033.22,322421.6,433359.86,480964.5
33.0,276889.1,305062.25,325592.05,439403.68,490401.69
33.08,278208.52,308397.74,329033.51,445635.38,499145.71
33.17,282185.64,311671.57,332035.37,452855.15,507936.31
33.25,288696.62,315943.06,337373.98,460393.32,515938.39
33.33,290904.16,319231.62,340423.81,467202.71,523458.6
33.42,294987.25,322721.26,345533.92,474138.93,532387.92
33.5,295952.65,325093.48,349757.62,480806.82,541020.71
33.58,302131.09,329970.12,352944.19,488018.55,549888.41
33.67,301766.26,331586.2,355473.96,495125.21,558040.93
33.75,303503.79,335242.38,360411.71,502319.14,566534.6
33.83,305547.62,338452.61,364997.87,509470.26,575499.69
33.92,306781.21,339942.25,369071.4,515989.06,584529.61
34.0,312425.1,344771.65,372375.6,522296.94,593128.67
34.08,313502.22,348860.69,376477.65,530334.16,601697.63
34.17,316194.96,352892.25,381470.02,537793.26,610224.76
34.25,320004.3,353809.36,383230.01,543882.5,618726.48
34.33,324365.03,356429.97,386117.93,551412.72,628712.58
34.42,327350.82,359962.0,388297.44,558105.23,637683.63
34.5,327258.79,363709.96,394060.85,566593.83,648246.99
34.58,333679.01,367888.06,398231.92,573913.13,655696.18
34.67,334976.08,370169.23,404503.34,581150.69,665994.13
34.75,338008.12,375299.03,405381.34,588631.55,676214.48
34.83,340884.93,376691.2,409675.45,596872.39,685015.78
34.92,339714.13,379985.27,413470.74,605012.26,694342.32
35.0,343845.21,383809.23,418873.64,612963.81,705246.83
35.08,342765.31,387680.88,421129.27,619237.35,715567.1
35.17,345697.04,390350.43,424615.07,627281.18,724854.5
35.25,348110.49,394215.46,428135.15,634547.54,735297.52
35.33,350885.68,397758.3,430816.66,641803.8,744878.71
35.42,354626.91,402009.19,433413.34,649726.4,754839.63
35.5,359087.2,403349.54,439836.81,656494.51,764880.84
35.58,362771.21,406026.22,444099.05,664623.69,772856.48
35.67,364285.63,409973.24,447485.36,670763.37,783956.01
35.75,367559.2,412992.03,451975.07,679746.37,793758.03
35.83,374381.87,417030.01,457244.58,686597.23,803836.17
35.92,376295.11,417561.38,461841.53,695196.68,813610.71
36.0,375237.63,424353.44,464866.18,701321.23,821514.94
36.08,378344.8,426899.89,466906.67,709753.04,831940.21
36.17,383008.31,431571.54,470869.49,717944.85,842385.34
36.25,387002.49,433199.81,473147.98,725541.82,851215.33
36.33,390670.24,436175.2,478582.32,732662.35,862159.76
36.42,391873.7,441247.78,481871.24,740575.64,872125.38
36.5,395463.27,444060.69,487501.6,748658.87,883673.83
36.58,398526.21,446013.52,488334.85,757993.36,894677.91
36.67,401480.61,447169.3,492546.03,766034.32,906295.57
36.75,404132.42,453297.1,494925.45,774489.99,914892.93
36.83,410224.08,458487.96,499236.33,782823.7,926741.26
36.92,416531.83,460203.15,502967.61,792052.56,937275.31
37.0,420265.06,464397.69,508551.0,801743.72,949293.35
37.08,422654.4,466959.77,510490.13,809126.17,960698.38
37.17,427590.48,473026.32,515922.49,818622.97,970415.0
37.25,429971.1,476156.76,517985.78,827718.47,980926.15
37.33,433681.7,481495.43,523185.43,832998.76,991642.68
37.42,439416.95,483956.73,525661.37,842006.48,1001979.87
37.5,440328.46,485810.58,531619.85,852080.21,1011847.16
37.58,444631.11,489182.26,536778.08,861011.41,1024380.54
37.67,449077.5,492831.78,539099.35,871305.85,1036498.74
37.75,451638.4,496214.0,541578.65,876383.82,1045877.81
37.83,452207.23,500684.29,548831.0,885867.05,1056021.23
37.92,455950.91,504984.36,556300.85,892015.22,1067408.73
38.0,459075.01,511453.67,559397.6,901261.35,1077410.09
38.08,462412.79,517021.92,562557.9,912212.31,1090713.11
38.17,459340.55,518803.73,569069.97,918094.46,1101661.47
38.25,463119.15,525255.7,574725.34,926886.08,1108182.86
38.33,471976.89,532086.02,580020.16,934101.27,1122230.64
38.42,473669.27,531811.13,583794.99,941033.87,1133201.76
38.5,472051.45,533944.94,588064.22,950201.14,1144479.55
38.58,482447.22,539070.13,594891.31,959365.55,1157251.09
38.67,481611.24,547009.94,598937.75,967641.78,1170221.8
38.75,487340.94,549152.97,604816.47,973784.74,1179724.53
38.83,489671.28,550815.15,606389.04,982975.02,1188520.43
38.92,497485.97,556470.61,610656.43,993828.89,1202410.65
39.0,502128.67,556536.13,615154.49,1003490.06,1213563.4
39.08,503040.17,560633.36,617778.88,1014108.84,1226315.49
39.17,504909.0,563676.93,620427.37,1023567.17,1239577.36
39.25,509928.79,570336.09,627414.96,1031109.67,1249311.81
39.33,512666.4,573696.8,633849.33,1038384.12,1261558.02
39.42,523187.28,578065.9,638393.1,1049516.52,1272702.83
39.5,524270.89,578768.74,641723.53,1060899.2,1283627.32
39.58,522919.78,580987.24,645355.49,1066363.49,1297173.11
39.67,527613.41,586065.88,650902.2,1075962.51,1308214.91
39.75,526838.11,592904.81,656130.7,1084012.59,1319854.03
39.83,534571.8,593827.46,658541.65,1092925.7,1333415.31
39.92,539288.21,598705.26,663927.02,1104549.51,1347166.79
40.0,542939.81,605105.98,670499.46,1113548.26,1361911.84
40.08,541869.27,613513.77,677149.47,1126675.53,1373012.73
40.17,538338.12,614992.5,678792.54,1135953.3,1383866.13
40.25,540566.51,621655.2,683495.17,1142289.97,1398634.59
40.33,546466.28,621460.18,690856.66,1151784.07,1410547.47
40.42,551554.83,626387.94,694925.31,1160933.18,1425933.9
40.5,555228.06,629437.29,700244.95,1174847.11,1433913.76
40.58,556865.33,631651.33,703044.13,1184076.75,1446836.09
40.67,561023.08,639780.16,704395.96,1192826.68,1462201.37
40.75,569672.02,641975.62,710566.39,1202129.01,1475987.02
40.83,572194.76,649677.17,716580.62,1212678.39,1492732.05
40.92,577504.23,650526.04,725333.92,1223290.63,1507478.01
41.0,585083.02,652935.4,731356.84,1232642.16,1514870.64
41.08,587953.77,661350.74,737639.0,1241740.02,1529577.57
41.17,588357.74,663776.94,738758.47,1248886.53,1542739.62
41.25,600276.1,669427.09,745795.72,1260810.65,1550830.0
41.33,602187.17,672371.35,749040.68,1271170.49,1564651.03
41.42,608332.24,679801.91,753387.85,1279542.87,1582384.65
41.5,612426.81,683975.5,760063.45,1293126.77,1596553.06
41.58,616556.96,687327.14,766008.65,1304646.74,1608315.99
41.67,618441.13,691087.03,770620.26,1317370.17,1625690.55
41.75,617616.61,694724.8,774507.2,1326534.15,1642361.1
41.83,617937.24,695249.86,775324.91,1333026.04,1659792.48
41.92,628102.53,698192.05,780886.42,1342343.2,1670361.88
42.0,630538.14,705001.05,784343.98,1354466.99,1680936.17
42.08,631399.9,709658.17,792249.8,1363906.97,1693874.94
42.17,636026.93,714653.96,794248.21,1378766.33,1707365.05
42.25,638027.32,723806.18,804780.62,1391364.54,1726191.37
42.33,642433.42,729573.04,805586.15,1397961.32,1742877.57
42.42,645010.67,729939.83,811436.12,1408824.16,1759232.06
42.5,650443.14,736951.25,814839.68,1416511.49,1771089.2
42.58,654582.6,736911.33,815075.72,1431394.81,1787391.37
42.67,655142.87,739660.17,822450.44,1438527.6,1804616.61
42.75,657706.85,742985.65,825542.9,1447081.57,1814033.14
42.83,660178.05,747445.92,832956.45,1457622.04,1831711.33
42.92,665485.17,752873.73,836499.4,1466629.88,1846763.49
43.0,666655.67,755116.94,842352.89,1478259.16,1861206.98
43.08,667229.36,756857.13,845691.5,1485430.45,1875881.8
43.17,673371.81,758049.93,856564.9,1495250.39,1889738.54
43.25,671568.38,764873.44,860956.68,1508363.59,1903750.32
43.33,675604.13,771991.5,868442.31,1519047.84,1922195.14
43.42,673653.4,769071.19,863958.72,1534042.93,1944488.93
43.5,684441.73,774839.2,873885.58,1543414.1,1955963.94
43.58,688708.72,780544.64,877393.71,1556024.66,1963640.12
43.67,696170.86,788237.44,879560.88,1564088.12,1982216.04
43.75,697937.87,792411.79,885314.16,1573445.6,2003243.96
43.83,696473.71,800891.12,893594.22,1585960.8,2018645.04
43.92,705588.62,810317.25,897469.63,1596862.0,2024270.91
44.0,703934.45,807192.42,906456.99,1607877.7,2041570.4
44.08,709359.21,811693.56,908110.96,1618039.82,2061250.86
44.17,709391.7,813984.31,913121.63,1632274.89,2078599.78
44.25,711398.17,820351.69,916422.77,1644894.14,2091909.56
44.33,711482.76,823226.08,926618.45,1654578.79,2108315.3
44.42,713553.68,829704.59,929281.97,1668874.62,2124215.3
44.5,729404.89,831147.94,935934.33,1684436.38,2138734.88
44.58,731189.52,843327.54,939756.21,1690067.84,2154445.42
44.67,732387.79,841348.64,944125.09,1700020.34,2167037.31
44.75,738503.27,850440.94,946799.5,1711189.52,2190592.45
44.83,744451.06,857080.98,951873.73,1722041.87,2203373.95
44.92,748260.36,863916.68,960888.75,1736051.89,2224349.26
45.0,745553.12,867293.15,964960.72,1752062.84,2238229.25
45.08,748443.14,866332.42,967127.87,1762546.56,2253713.87
45.17,754303.09,875271.48,972446.08,1773885.28,2275367.0
45.25,764748.45,873707.92,982951.96,1783204.31,2285748.29
45.33,766429.11,875334.23,982552.21,1793098.03,2301199.7
45.42,770873.86,879675.74,984899.37,1804477.75,2312989.64
45.5,778678.52,880319.46,987434.73,1813975.54,2327503.96
45.58,786871.66,884749.08,996597.91,1827812.09,2348392.1
45.67,793240.91,894236.34,997512.89,1841722.83,2363714.54
45.75,788824.85,894537.24,1003326.28,1853050.39,2383931.37
45.83,789889.41,901699.43,1011111.67,1865781.62,2404683.84
45.92,792567.33,906796.83,1017076.66,1881057.72,2423973.32
46.0,787256.07,913456.78,1025397.15,1891136.98,2436014.52
46.08,797645.77,915905.61,1034254.58,1902726.77,2456316.03
46.17,798877.76,924777.39,1036658.32,1919038.64,2476238.7
46.25,805116.52,927669.34,1039894.14,1932479.64,2494489.2
46.33,809334.79,931725.03,1049422.57,1948713.21,2516450.55
46.42,812798.84,939849.29,1050959.3,1960295.65,2533584.96
46.5,811775.22,947371.5,1057904.83,1974127.26,2551113.06
46.58,816791.62,949044.01,1059136.37,1985693.9,2568295.57
46.67,823500.79,956274.82,1066091.66,1998532.8,2589259.7
46.75,838601.81,964312.29,1071766.62,2011812.89,2610111.2
46.83,829525.2,966523.54,1080943.39,2024210.35,2635418.15
46.92,835298.21,972428.22,1088152.13,2030628.53,2656216.0
47.0,844435.19,977636.22,1086877.67,2041980.72,2669818.77
47.08,851873.93,980204.49,1094053.96,2058295.21,2696409.61
47.17,856070.24,979912.42,1097634.89,2068987.19,2717108.28
47.25,862853.01,987340.18,1112234.19,2082401.93,2736270.7
47.33,870637.74,984795.46,1117534.97,2088596.82,2758244.48
47.42,871210.17,994905.95,1120861.56,2105727.89,2767596.75
47.5,873724.51,1001810.8,1126177.86,2119273.97,2791115.9
47.58,884040.7,994456.47,1126901.76,2132001.82,2813537.73
47.67,886271.21,1009435.84,1137393.29,2149655.16,2834897.54
47.75,883970.31,1009633.01,1147204.93,2161862.98,2849895.19
47.83,881157.31,1011888.2,1153367.67,2170723.6,2874506.33
47.92,883008.97,1014274.66,1160676.9,2186092.01,2882486.37
48.0,888222.13,1017206.11,1162558.25,2204218.09,2906173.51
48.08,888572.2,1017354.43,1166575.67,2219281.36,2921380.14
48.17,883372.9,1027035.34,1170313.63,2231007.66,2949696.46
48.25,889930.06,1030077.2,1178559.11,2245438.3,2976739.5
48.33,902628.28,1037168.14,1184288.3,2252468.52,3003552.73
48.42,906472.1,1045655.67,1190517.6,2269126.02,3022222.63
48.5,916961.57,1050892.42,1197341.85,2284131.47,3041280.4
48.58,920663.34,1062179.65,1208658.62,2296659.69,3062985.99
48.67,931689.54,1066659.56,1216828.26,2315866.09,3074180.12
48.75,925358.36,1069160.36,1210428.25,2331979.48,3101115.2
48.83,931826.54,1079843.36,1222503.83,2347157.76,3115896.59
48.92,942999.17,1088054.93,1219649.2,2363949.89,3139878.52
49.0,944040.31,1093490.07,1227022.66,2376892.29,3162649.76
49.08,939316.45,1097874.42,1229884.47,2400457.82,3175149.77
49.17,952204.96,1099964.06,1236349.33,2416962.42,3192639.9
49.25,942084.86,1105058.5,1251021.13,2424002.96,3221795.41
49.33,956553.12,1105582.66,1255754.58,2433480.98,3245392.67
49.42,962532.18,1112049.21,1257455.04,2449842.52,3266506.49
49.5,960451.31,1112625.98,1263341.56,2467979.9,3294858.32
49.58,961323.25,1115208.25,1258277.99,2485875.95,3306342.69
49.67,965737.33,1117742.0,1265820.47,2492527.81,3325790.24
49.75,967148.38,1125903.09,1269480.99,2511182.55,3356979.78
49.83,969270.82,1127718.73,1283785.42,2527273.04,3388180.21
49.92,967362.36,1134986.56,1289526.58,2540406.89,3401094.45
50.0,981621.04,1150005.95,1291623.7,2551047.9,3423371.54
50.08,967167.25,1142805.3,1295652.06,2569621.66,3444259.82
50.17,974248.28,1150478.26,1302706.0,2581023.62,3462559.78
50.25,969905.42,1154393.32,1304047.8,2601048.54,3477574.69
50.33,980711.27,1152490.89,1312442.8,2615387.06,3508389.44
50.42,991935.47,1157459.8,1316863.71,2636366.87,3531806.16
50.5,990423.48,1164780.3,1325674.52,2653745.98,3551007.32
50.58,994927.72,1170317.19,1340918.47,2668110.78,3564070.08
50.67,1010947.55,1178147.02,1351342.62,2688290.88,3599360.19
50.75,1012191.13,1182253.82,1352980.36,2707999.79,3628540.46
50.83,1023807.2,1189327.07,1359802.2,2722258.22,3647125.66
50.92,1024334.38,1185096.32,1366974.83,2731442.99,3675831.68
51.0,1018359.25,1195708.04,1377363.41,2754704.21,3706526.19
51.08,1010894.28,1205244.14,1380379.26,2763061.89,3719119.62
51.17,1007216.56,1205121.67,1381770.19,2782179.06,3746712.77
51.25,1013582.57,1205378.49,1381587.55,2803045.13,3770079.47
51.33,1025309.21,1210209.91,1392459.28,2816990.02,3797297.9
51.42,1019685.57,1213375.92,1402044.05,2824855.89,3822926.65
51.5,1033234.05,1219092.63,1400184.84,2846899.91,3847491.22
51.58,1046875.82,1223108.33,1412662.85,2858134.03,3867525.25
51.67,1044001.24,1213498.43,1413407.98,2876707.84,3890694.76
51.75,1038897.98,1226599.3,1426480.23,2886531.5,3908713.42
51.83,1042539.66,1226780.17,1432028.65,2909319.67,3950712.8
51.92,1048561.91,1238919.44,1428003.98,2918027.96,3972889.18
52.0,1044317.6,1246220.78,1438111.53,2935692.61,4003825.86
52.08,1054203.64,1240456.95,1453181.28,2952797.97,4035715.96
52.17,1062865.11,1250380.29,1449944.78,2973822.98,4060150.37
52.25,1058785.23,1252221.85,1460503.84,2993830.33,4066841.52
52.33,1059096.31,1247894.14,1470808.08,3015370.77,4107399.33
52.42,1065864.15,1249874.24,1472087.82,3030413.05,4126853.3
52.5,1073966.91,1267409.28,1476637.58,3044562.87,4154073.37
52.58,1073609.74,1267667.16,1479031.49,3069194.0,4161968.83
52.67,1076559.58,1282687.84,1485622.58,3087003.46,4196946.01
52.75,1087238.33,1279707.75,1483700.65,3102790.92,4224609.28
52.83,1097410.64,1284228.46,1497717.85,3110757.21,4246443.32
52.92,1107543.15,1289996.68,1504840.7,3134854.97,4282791.18
53.0,1111002.02,1283796.61,1507548.69,3152179.46,4299397.69
53.08,1104843.73,1293217.61,1514384.3,3170048.6,4331346.6
53.17,1114715.05,1297678.3,1521100.56,3194789.48,4359927.54
53.25,1107235.76,1302677.71,1524421.57,3208532.19,4378947.48
53.33,1113345.75,1314899.47,1530025.58,3226536.81,4416325.77
53.42,1096653.42,1320215.14,1532083.66,3234131.1,4444950.26
53.5,1111259.62,1326490.72,1538776.19,3249364.53,4499750.3
53.58,1117821.81,1338201.77,1542923.31,3257454.18,4510117.78
53.67,1113148.73,1345279.93,1559823.17,3286538.95,4537771.44
53.75,1126451.61,1343493.25,1567659.7,3309239.02,4563840.07
53.83,1142018.3,1346336.1,1566132.17,3325597.09,4590873.16
53.92,1142815.31,1347386.17,1575483.33,3350450.22,4602175.34
54.0,1156889.92,1356648.15,1574802.33,3370541.8,4634254.69
54.08,1163199.33,1357615.73,1586143.68,3390155.54,4671973.87
54.17,1165890.77,1367757.58,1599589.73,3409591.54,4689454.07
54.25,1165916.93,1379218.9,1602021.33,3419725.88,4718763.26
54.33,1170093.66,1389061.97,1608275.93,3439619.04,4740264.09
54.42,1162365.43,1391981.81,1611931.14,3460664.24,4769584.57
54.5,1166223.61,1395903.69,1619396.45,3471318.32,4788509.77
54.58,1173158.09,1403792.68,1619985.17,3496098.34,4806609.13
54.67,1190648.22,1412858.63,1628126.59,3507502.94,4841921.47
